currency,gate_apr,okx_loan_rate,okx_daily_rate,okx_total_quota,okx_used_quota,okx_surplus_limit,okx_avail_loan,available,status,binance_loan_rate,best_loan_rate,best_loan_source,net_apr,timestamp
ZORA,499.32,100.00415999999998,0.273984,27500.0,0,27500.0,27500.0,True,✅ AVAILABLE,0.0,100.00415999999998,OKX,399.31584,2026-02-05 13:53:09
AUCTION,499.32,108.00204,0.295896,1500.0,0,1500.0,1500.0,True,✅ AVAILABLE,319.63090515,108.00204,OKX,391.31795999999997,2026-02-05 13:53:09
WCT,450.0,61.00464,0.167136,52000.0,0,52000.0,52000.0,True,✅ AVAILABLE,0.0,61.00464,OKX,388.99536,2026-02-05 13:53:09
RAY,499.32,124.00656,0.339744,25000.0,0,25000.0,25000.0,True,✅ AVAILABLE,346.21837385000003,124.00656,OKX,375.31344,2026-02-05 13:53:09
ZIL,499.0,126.00384,0.345216,1200000.0,0,1200000.0,1200000.0,True,✅ AVAILABLE,321.1434031,126.00384,OKX,372.99616000000003,2026-02-05 13:53:09
ANIME,499.32,144.00564,0.394536,5000000.0,0,5000000.0,5000000.0,True,✅ AVAILABLE,0.0,144.00564,OKX,355.31435999999997,2026-02-05 13:53:09
MOVE,499.0,157.00547999999998,0.430152,120000.0,0,120000.0,120000.0,True,✅ AVAILABLE,391.27428045,157.00547999999998,OKX,341.99452,2026-02-05 13:53:09
FLOW,184.39000000000001,1.0074,0.00276,0.0,0,0.0,0.0,False,❌ NOT AVAILABLE,29.8900617,1.0074,OKX,183.38260000000002,2026-02-05 13:53:09
GAS,248.11,65.00796,0.178104,4800.0,0,4800.0,4800.0,True,✅ AVAILABLE,0.0,65.00796,OKX,183.10204000000002,2026-02-05 13:53:09
CVX,215.47,60.006,0.16440000000000002,4500.0,0,4500.0,4500.0,True,✅ AVAILABLE,0.0,60.006,OKX,155.464,2026-02-05 13:53:09
SOPH,133.86,1.0074,0.00276,0.0,0,0.0,0.0,False,❌ NOT AVAILABLE,0.0,1.0074,OKX,132.85260000000002,2026-02-05 13:53:09
ZRX,131.97,50.00207999999999,0.136992,55000.0,0,55000.0,55000.0,True,✅ AVAILABLE,298.5620211,50.00207999999999,OKX,81.96792,2026-02-05 13:53:09
